ClienteID;Origem;Idade;Salário Anual (R$);Nota (1-100);Profissão;Experiência Trabalho;Tamanho Família;
590;Promoção;46;148520;17;Saúde;11;5;
591;Normal;42;149936;71;Artista;15;3;
592;Promoção;73;102296;39;Entretenimento;7;5;
593;Normal;75;178416;23;Executivo;10;7;
594;Promoção;49;83788;44;Doutor;15;1;
595;Promoção;96;184771;73;Engenheiro;8;5;
596;Promoção;52;70302;91;Executivo;14;3;
597;Promoção;15;58639;59;Entretenimento;5;7;
598;Normal;91;97879;59;Entretenimento;15;7;
599;Normal;22;64707;41;Entretenimento;7;3;
600;Normal;62;71795;87;Saúde;8;1;
601;Normal;41;76567;85;Doutor;16;1;
602;Normal;61;126370;27;;11;4;
603;Promoção;71;154007;40;Artista;7;7;
604;Promoção;91;69720;74;Advogado;17;6;
605;Promoção;94;85265;64;Executivo;7;6;
606;Promoção;3;155864;7;Saúde;0;3;
607;Promoção;15;99421;80;Artista;8;7;
608;Promoção;96;145457;53;Executivo;2;1;
609;Normal;12;118041;89;Artista;9;2;
610;Promoção;23;73759;79;Doutor;0;7;
611;Normal;94;90082;29;Artista;5;7;
612;Promoção;7;74928;1;Artista;0;6;
613;Promoção;74;101352;32;Advogado;0;5;
614;Promoção;52;93947;77;Saúde;9;2;
615;Normal;39;134629;23;Engenheiro;1;6;
616;Normal;72;101858;70;Saúde;8;6;
617;Promoção;55;165501;62;Artista;10;4;
618;Normal;29;135931;74;Advogado;5;1;
619;Normal;38;103356;25;Marketing;1;6;
620;Promoção;44;75195;87;Artista;1;3;
621;Normal;58;123083;56;Entretenimento;6;5;
622;Normal;77;73884;30;Saúde;1;2;
623;Promoção;56;91180;69;Entretenimento;1;7;
624;Normal;79;86235;64;Artista;0;2;
625;Promoção;97;96400;1;Doutor;1;7;
626;Normal;78;83599;12;Saúde;1;6;
627;Promoção;91;82535;46;Saúde;0;1;
628;Normal;35;92227;8;Advogado;0;5;
629;Promoção;43;150444;88;Artista;13;4;
630;Promoção;37;149095;79;Advogado;1;2;
631;Normal;63;113605;54;Artista;3;3;
632;Promoção;16;93854;78;Saúde;0;7;
633;Normal;32;118280;100;Artista;0;5;
634;Normal;91;94576;100;Artista;0;1;
635;Promoção;33;129257;66;Executivo;6;3;
636;Promoção;57;70373;6;Saúde;2;6;
637;Promoção;43;77600;62;Saúde;0;1;
638;Promoção;26;113707;100;Entretenimento;0;5;
639;Promoção;59;189672;4;Doutor;0;7;
640;Promoção;61;143180;66;Artista;0;5;
641;Promoção;59;174890;15;Marketing;3;4;
642;Normal;66;121377;19;;7;7;
643;Normal;26;154857;13;Saúde;0;7;
644;Promoção;67;160945;47;Saúde;0;5;
645;Promoção;85;119557;43;Artista;0;2;
646;Promoção;76;187141;29;Doutor;0;7;
647;Promoção;57;97468;30;Artista;0;1;
648;Promoção;77;160351;73;Advogado;8;5;
649;Promoção;66;178627;90;Saúde;1;2;
650;Promoção;49;170188;76;Advogado;1;6;
651;Promoção;36;166007;36;Doutor;1;4;
652;Normal;74;91794;95;Entretenimento;0;7;
653;Promoção;16;189072;94;Artista;6;3;
654;Normal;27;152717;15;Executivo;1;6;
655;Promoção;3;158549;67;Executivo;0;3;
656;Normal;31;134263;99;Marketing;1;3;
657;Promoção;30;148236;24;Executivo;1;1;
658;Normal;94;171677;93;Artista;0;6;
659;Promoção;31;189446;46;Artista;1;6;
660;Normal;49;106633;65;Artista;0;3;
661;Normal;49;81084;48;Executivo;6;5;
662;Normal;53;148759;52;Doutor;7;7;
663;Promoção;3;117638;64;Saúde;0;7;
664;Promoção;91;159537;33;Doutor;4;1;
665;Normal;26;79526;11;Marketing;9;7;
666;Normal;28;101414;64;;8;1;
667;Promoção;92;109519;80;Entretenimento;1;4;
668;Promoção;59;156880;78;Artista;0;7;
669;Normal;15;157278;70;Artista;0;6;
670;Promoção;23;144916;80;Engenheiro;1;7;
671;Normal;54;59163;100;Marketing;3;3;
672;Promoção;93;93991;57;Artista;1;3;
673;Promoção;65;58318;41;Doutor;1;1;
674;Promoção;13;180786;84;Advogado;1;5;
675;Normal;71;84622;45;Doutor;0;6;
676;Normal;1;92674;51;Artista;0;4;
677;Promoção;57;87553;100;Artista;1;1;
678;Normal;14;74174;91;Entretenimento;1;2;
679;Promoção;77;180831;29;Saúde;1;2;
680;Promoção;89;137397;29;Doutor;1;7;
681;Normal;17;96154;100;Artista;1;4;
682;Normal;86;172477;81;Entretenimento;1;3;
683;Normal;42;59954;37;Executivo;4;4;
684;Promoção;29;112240;100;Entretenimento;0;4;
685;Promoção;54;145679;43;Artista;0;2;
686;Normal;96;136265;68;Artista;12;5;
687;Promoção;58;74869;8;Saúde;0;3;
688;Promoção;52;109425;42;Engenheiro;0;1;
689;Promoção;3;126015;26;Saúde;0;1;
690;Promoção;13;156951;62;Saúde;4;7;
691;Promoção;3;127172;37;Saúde;0;2;
692;Normal;89;113834;22;Doutor;0;3;
693;Normal;83;132005;14;Entretenimento;0;5;
694;Promoção;80;171323;81;Advogado;10;4;
695;Promoção;74;92355;95;Entretenimento;1;4;
696;Normal;42;60982;3;Saúde;0;5;
697;Promoção;91;51742;41;Artista;8;3;
698;Promoção;31;138612;67;Executivo;9;2;
699;Normal;8;158123;76;Artista;0;1;
700;Normal;64;164675;65;Executivo;0;5;
701;Promoção;41;172882;23;Saúde;8;7;
702;Promoção;62;70119;100;Artista;0;1;
703;Normal;41;113998;26;Saúde;7;7;
704;Normal;22;114011;40;;5;7;
705;Normal;5;57265;80;Entretenimento;0;7;
706;Promoção;38;130597;13;Artista;6;1;
707;Promoção;88;121597;3;Engenheiro;0;5;
708;Normal;56;103210;100;Artista;6;6;
709;Normal;47;66308;8;Executivo;0;4;
710;Normal;4;141336;66;Construção;0;1;
711;Normal;82;153632;88;Entretenimento;9;7;
712;Promoção;31;65520;67;Advogado;1;2;
713;Promoção;69;153217;79;Saúde;1;6;
714;Normal;62;92768;75;Doutor;1;1;
715;Promoção;54;132345;18;Artista;0;2;
716;Promoção;60;186069;50;Marketing;1;2;
717;Promoção;31;53802;40;Artista;1;7;
718;Promoção;17;103739;58;Saúde;6;4;
719;Promoção;15;50550;30;Saúde;9;7;
720;Promoção;37;145648;17;Saúde;7;6;
721;Normal;36;85737;37;Executivo;0;3;
722;Promoção;27;99950;28;Entretenimento;0;4;
723;Promoção;11;83220;17;Engenheiro;7;4;
724;Normal;83;73410;62;Entretenimento;8;5;
725;Promoção;71;64310;44;Marketing;2;1;
726;Promoção;20;59844;75;Doutor;0;1;
727;Normal;3;67787;1;Executivo;0;6;
728;Normal;52;172841;4;Engenheiro;0;1;
729;Normal;75;145528;61;Saúde;1;2;
730;Normal;36;173807;54;Artista;0;2;
731;Normal;60;185794;81;Entretenimento;7;1;
732;Normal;8;119780;44;Saúde;0;3;
733;Promoção;9;158596;74;Artista;0;2;
734;Promoção;41;118122;60;Entretenimento;0;6;
735;Normal;38;99964;11;Saúde;7;4;
736;Promoção;69;120752;23;Executivo;1;6;
737;Promoção;33;189630;49;Executivo;5;5;
738;Normal;64;125510;6;Saúde;3;3;
739;Normal;19;101799;49;Engenheiro;1;1;
740;Promoção;88;92914;82;Artista;0;3;
741;Promoção;91;162465;55;Engenheiro;9;3;
742;Normal;84;163818;27;Engenheiro;2;1;
743;Promoção;43;53832;64;Entretenimento;4;1;
744;Promoção;30;140190;45;Engenheiro;1;4;
745;Normal;16;125836;69;Saúde;1;4;
746;Normal;89;100938;39;Entretenimento;0;7;
747;Normal;5;168670;29;Artista;0;3;
748;Promoção;54;176885;18;Entretenimento;0;3;
749;Promoção;41;111174;36;Artista;4;5;
750;Normal;80;127335;100;Artista;6;6;
751;Normal;37;149103;10;Saúde;10;1;
752;Normal;87;167705;31;Saúde;0;7;
753;Promoção;50;183548;93;Entretenimento;1;4;
754;Promoção;14;50396;42;Advogado;0;6;
755;Promoção;17;63557;6;Marketing;1;1;
756;Promoção;98;87878;63;Artista;1;6;
757;Normal;3;55634;26;Engenheiro;0;3;
758;Promoção;83;118110;22;Engenheiro;1;5;
759;Normal;13;129396;48;Artista;6;6;
760;Promoção;46;62628;72;Entretenimento;8;6;
761;Promoção;25;51700;13;Saúde;4;6;
762;Promoção;4;106816;37;Artista;0;5;
763;Normal;64;93000;67;Advogado;0;2;
764;Promoção;84;144148;67;Doutor;1;4;
765;Normal;12;101388;100;Artista;0;2;
766;Promoção;56;171560;74;Engenheiro;0;2;
767;Normal;58;156366;72;Entretenimento;8;1;
768;Promoção;0;143910;1;Marketing;0;7;
769;Promoção;25;106569;80;Engenheiro;1;3;
770;Normal;28;173009;25;Saúde;9;6;
771;Normal;78;54252;29;Engenheiro;0;5;
772;Normal;56;104600;69;Entretenimento;6;3;
773;Normal;91;50250;66;Artista;0;2;
774;Normal;77;93242;96;Entretenimento;0;7;
775;Promoção;83;156839;46;Artista;3;7;
776;Promoção;64;71305;47;Artista;9;2;
777;Normal;19;85975;85;Entretenimento;0;6;
778;Normal;94;188107;59;Engenheiro;10;2;
779;Normal;19;82333;40;Marketing;1;2;
780;Normal;84;125016;37;Entretenimento;1;7;
781;Promoção;10;148908;1;Saúde;0;3;
782;Promoção;19;58217;78;Artista;0;1;
783;Normal;74;76521;29;Engenheiro;7;4;
784;Promoção;95;117763;50;Artista;1;2;
785;Promoção;34;115184;89;Construção;1;4;
786;Normal;30;54251;19;Artista;2;6;
787;Promoção;53;112530;32;Entretenimento;2;6;
788;Normal;67;107409;14;Artista;1;6;
789;Promoção;23;84793;19;Construção;9;6;
790;Promoção;25;66952;87;Entretenimento;1;2;
791;Promoção;84;153465;7;Advogado;1;4;
792;Promoção;1;178214;5;Artista;0;7;
793;Normal;70;152069;54;Entretenimento;4;4;
794;Promoção;56;132860;13;Saúde;7;2;
795;Promoção;0;147719;55;Advogado;0;7;
796;Promoção;91;172915;25;Doutor;9;1;
797;Promoção;81;148594;37;Entretenimento;3;5;
798;Normal;33;61986;77;Executivo;0;1;
799;Normal;75;91456;25;Artista;1;4;
800;Normal;11;166247;84;Executivo;1;2;
801;Promoção;61;140516;58;Artista;0;3;
802;Normal;81;148208;36;;5;7;
803;Promoção;62;133822;79;Marketing;0;4;
804;Promoção;44;175424;40;Artista;4;5;
805;Promoção;67;121528;88;Saúde;8;4;
806;Promoção;30;189369;65;Saúde;0;3;
807;Promoção;92;80808;34;Artista;1;1;
808;Normal;25;57535;96;Entretenimento;1;7;
809;Promoção;61;163509;47;Saúde;0;4;
810;Promoção;72;75884;53;Executivo;0;7;
811;Promoção;89;157759;60;Artista;1;6;
812;Promoção;37;184813;40;Executivo;0;2;
813;Normal;59;187253;51;Executivo;8;7;
814;Normal;41;81718;48;Entretenimento;1;3;
815;Normal;60;150019;37;Doutor;1;2;
816;Promoção;81;53452;81;Entretenimento;1;6;
817;Normal;85;150765;42;Construção;8;2;
818;Promoção;91;154456;67;;0;7;
819;Promoção;65;56647;8;Doutor;6;4;
820;Promoção;19;117477;44;Saúde;6;7;
821;Promoção;78;79677;47;Artista;10;7;
822;Promoção;0;116759;2;Marketing;0;3;
823;Normal;26;180702;33;Entretenimento;6;1;
824;Promoção;2;122698;80;Entretenimento;0;1;
825;Promoção;60;169346;51;Saúde;7;2;
826;Promoção;67;93176;33;Artista;4;1;
827;Promoção;4;75853;9;Construção;0;5;
828;Normal;7;119362;31;Engenheiro;0;1;
829;Normal;28;81545;48;Artista;4;7;
830;Normal;67;67372;87;Artista;0;7;
831;Promoção;30;109703;57;Executivo;1;1;
832;Normal;38;166697;51;Marketing;13;4;
833;Promoção;40;124982;30;Engenheiro;1;7;
834;Promoção;6;146776;52;Advogado;0;7;
835;Promoção;3;147548;14;Executivo;0;5;
836;Promoção;51;117620;56;Saúde;7;6;
837;Normal;63;85351;57;Saúde;0;2;
838;Normal;65;174432;20;Artista;0;7;
839;Normal;44;70787;68;Doutor;1;3;
840;Promoção;90;75473;59;Saúde;0;7;
841;Normal;76;90082;49;Saúde;1;6;
842;Promoção;62;185388;50;Saúde;0;2;
843;Promoção;5;168110;45;Doutor;0;6;
844;Promoção;67;184628;53;Artista;12;2;
845;Promoção;38;176551;41;Saúde;8;1;
846;Promoção;31;76422;17;Saúde;9;7;
847;Normal;2;164248;43;Entretenimento;0;3;
848;Promoção;82;109188;34;Advogado;5;7;
849;Promoção;66;132951;22;Saúde;4;1;
850;Promoção;75;164598;28;Saúde;8;1;
851;Normal;69;186655;32;;7;2;
852;Promoção;62;111859;82;Saúde;6;1;
853;Promoção;0;121926;10;Advogado;0;1;
854;Promoção;11;143047;38;Executivo;1;3;
855;Promoção;22;131748;31;Artista;1;3;
856;Normal;76;142801;23;Advogado;0;1;
857;Normal;85;142723;46;Engenheiro;0;6;
858;Normal;21;155151;28;Marketing;14;3;
859;Promoção;64;153607;44;Saúde;1;4;
860;Normal;94;144192;34;Saúde;0;3;
861;Promoção;83;174159;18;Advogado;4;4;
862;Promoção;93;73642;51;Marketing;0;3;
863;Promoção;12;170319;54;Artista;8;7;
864;Promoção;0;141351;1;Engenheiro;0;2;
865;Promoção;79;167411;17;Marketing;12;5;
866;Normal;90;58289;61;Artista;5;6;
867;Promoção;45;79801;73;Doutor;0;2;
868;Promoção;82;146118;53;Marketing;8;7;
869;Promoção;57;57337;10;Saúde;1;4;
870;Promoção;43;113575;14;Entretenimento;1;2;
871;Normal;63;122658;65;Engenheiro;6;2;
872;Promoção;62;151836;21;Artista;0;6;
873;Promoção;43;185900;76;Construção;9;4;
874;Promoção;34;94029;94;Saúde;1;4;
875;Promoção;30;157290;30;Artista;2;2;
876;Normal;97;175996;61;Entretenimento;10;4;
877;Normal;68;102016;49;Artista;0;4;
878;Normal;16;77902;79;Artista;1;2;
879;Promoção;15;81138;82;Saúde;9;7;
880;Normal;25;128258;48;Executivo;0;2;
881;Promoção;29;62475;32;Artista;6;4;
882;Promoção;85;82854;83;Artista;6;4;
883;Promoção;30;59284;34;Doutor;7;7;
884;Promoção;13;141580;88;Saúde;0;4;
885;Promoção;88;171362;86;Executivo;6;4;
886;Normal;5;78274;57;Artista;0;2;
887;Promoção;95;76646;69;Artista;0;1;
888;Promoção;92;78308;62;Executivo;5;2;
889;Promoção;63;78971;85;Engenheiro;1;2;
890;Promoção;75;65528;74;Marketing;1;5;
891;Normal;67;94199;83;Artista;5;7;
892;Promoção;58;135705;44;Engenheiro;8;7;
893;Normal;52;130573;43;Entretenimento;8;3;
894;Promoção;85;152303;76;Artista;1;5;
895;Promoção;31;144582;85;Doutor;1;1;
896;Promoção;84;93288;75;Artista;10;6;
897;Promoção;93;88192;13;Marketing;10;2;
898;Normal;18;62362;81;Advogado;7;3;
899;Normal;73;74350;46;Advogado;10;1;
900;Normal;3;144103;15;Saúde;0;7;
901;Normal;1;75518;1;Advogado;0;3;
902;Normal;53;160980;62;Doutor;4;2;
903;Promoção;75;102904;36;Artista;7;6;
904;Promoção;15;174501;33;;9;7;
905;Promoção;47;157661;53;Saúde;6;6;
906;Promoção;66;118385;11;Saúde;10;3;
907;Promoção;17;116463;100;Artista;8;4;
908;Promoção;1;161212;2;Artista;0;6;
909;Normal;16;172601;55;Marketing;4;6;
910;Promoção;52;167214;90;Construção;8;7;
911;Normal;21;69644;31;Artista;5;1;
912;Promoção;19;120215;42;Construção;7;2;
913;Promoção;29;180401;19;Engenheiro;7;6;
914;Promoção;40;113739;100;Artista;5;7;
915;Normal;76;111717;41;Saúde;1;2;
916;Normal;91;62808;20;Engenheiro;0;4;
917;Promoção;24;67582;21;Artista;1;3;
918;Normal;4;96543;52;Artista;0;1;
919;Normal;90;89667;81;Artista;0;2;
920;Promoção;56;98980;61;Engenheiro;0;1;
921;Normal;14;124998;17;Advogado;1;3;
922;Normal;52;189091;24;Artista;0;6;
923;Promoção;14;153842;13;Artista;1;3;
924;Normal;30;106314;28;Artista;0;7;
925;Promoção;70;62901;68;Artista;8;5;
926;Normal;14;149618;78;Saúde;4;6;
927;Promoção;95;72068;93;Saúde;0;6;
928;Normal;25;81367;87;;0;3;
929;Promoção;95;118575;18;Entretenimento;1;3;
930;Promoção;12;82382;93;Executivo;1;3;
931;Normal;82;114776;74;Entretenimento;10;3;
932;Promoção;2;145597;69;Artista;0;6;
933;Normal;51;162072;86;Engenheiro;1;1;
934;Normal;63;172872;11;Saúde;0;7;
935;Promoção;30;182162;14;Artista;1;3;
936;Promoção;68;71467;89;Artista;5;7;
937;Promoção;21;85568;1;Saúde;0;6;
938;Promoção;99;56851;80;Entretenimento;6;3;
939;Promoção;0;116782;61;Artista;0;5;
940;Promoção;80;67781;13;Entretenimento;4;4;
941;Promoção;51;70152;25;Saúde;0;2;
942;Normal;18;185861;94;Artista;3;6;
943;Normal;43;162595;29;Artista;3;3;
944;Promoção;29;80098;57;Advogado;10;6;
945;Promoção;20;184801;4;Advogado;1;1;
946;Promoção;39;58908;45;Artista;6;6;
947;Promoção;9;146011;43;Marketing;0;5;
948;Promoção;45;135174;47;Artista;9;4;
949;Promoção;65;114244;72;Artista;0;1;
950;Promoção;64;157207;48;Saúde;0;4;
951;Promoção;81;128834;31;Entretenimento;5;4;
952;Normal;54;51166;36;Entretenimento;0;7;
953;Promoção;32;130118;44;Artista;0;4;
954;Normal;29;87014;78;Doutor;11;4;
955;Promoção;25;111379;100;Artista;0;2;
956;Normal;5;83704;74;Entretenimento;0;1;
957;Promoção;55;90558;45;Saúde;8;2;
958;Normal;12;187343;14;Saúde;6;3;
959;Promoção;81;111174;56;Entretenimento;9;6;
960;Normal;87;64461;63;Engenheiro;4;4;
961;Normal;12;109618;100;Artista;7;3;
962;Normal;91;189357;4;Advogado;7;1;
963;Promoção;63;120955;87;Artista;6;1;
964;Promoção;97;168898;50;Construção;8;7;
965;Normal;89;130431;52;Saúde;6;3;
966;Normal;59;161091;56;Engenheiro;9;1;
967;Promoção;26;69988;1;Construção;5;4;
968;Promoção;5;169702;67;Doutor;0;1;
969;Normal;32;186897;49;Saúde;1;7;
970;Promoção;98;109061;37;Engenheiro;6;1;
971;Normal;31;188620;42;Artista;3;6;
972;Promoção;59;108675;65;Artista;4;5;
973;Promoção;80;177601;42;Entretenimento;0;2;
974;Promoção;12;87365;6;Marketing;1;2;
975;Normal;80;95929;23;Engenheiro;0;2;
976;Normal;59;97185;99;Entretenimento;0;5;
977;Promoção;56;103838;25;Artista;1;2;
978;Normal;18;129260;11;Doutor;1;3;
979;Promoção;66;151184;27;Artista;1;4;
980;Promoção;67;177512;58;Engenheiro;2;3;
981;Normal;39;140099;51;Advogado;0;7;
982;Normal;23;67535;97;Saúde;7;6;
983;Normal;47;133236;61;Executivo;1;6;
984;Promoção;41;87975;1;Construção;9;7;
985;Promoção;40;164350;19;Saúde;0;5;
986;Normal;36;55109;65;Artista;8;3;
987;Promoção;12;67613;48;Entretenimento;1;2;
988;Promoção;60;185306;55;Entretenimento;0;2;
989;Promoção;24;154787;80;Executivo;3;5;
990;Promoção;17;109759;100;Artista;9;3;
991;Promoção;92;114571;47;Executivo;1;3;
992;Normal;32;130697;100;Artista;1;2;
993;Normal;39;115916;31;Doutor;13;6;
994;Promoção;50;69814;61;Artista;9;2;
995;Promoção;85;118161;70;Engenheiro;0;4;
996;Normal;65;56583;65;Saúde;2;3;
997;Promoção;17;185843;44;Artista;4;3;
998;Promoção;31;171825;37;Entretenimento;10;4;
999;Normal;24;77976;100;Artista;11;3;
1000;Normal;97;66312;87;Entretenimento;0;1;
1001;Promoção;92;81839;19;Entretenimento;0;4;
1002;Promoção;80;55712;13;Artista;5;6;
1003;Normal;33;158335;45;Saúde;2;5;
1004;Normal;8;74253;18;Advogado;0;6;
1005;Normal;67;119625;3;Saúde;4;4;
1006;Promoção;8;129743;1;Artista;0;2;
1007;Promoção;61;101007;56;Advogado;0;6;
1008;Normal;83;87529;61;Artista;9;7;
1009;Normal;8;151648;71;Saúde;0;6;
1010;Normal;69;61637;67;;0;5;
1011;Normal;14;164659;71;Entretenimento;1;6;
1012;Promoção;80;125623;58;Executivo;0;4;
1013;Promoção;85;104054;30;Artista;8;4;
1014;Normal;88;83535;68;Artista;1;5;
1015;Promoção;76;166245;9;Executivo;7;3;
1016;Promoção;32;100890;68;Entretenimento;4;4;
1017;Promoção;99;55972;91;Entretenimento;1;7;
1018;Promoção;85;134282;47;Artista;2;5;
1019;Promoção;25;106669;18;Advogado;1;7;
1020;Promoção;99;145777;90;Executivo;1;5;
1021;Normal;41;119259;91;Saúde;1;5;
1022;Promoção;1;150174;47;Artista;0;2;
1023;Promoção;45;55472;47;Saúde;1;3;
1024;Normal;55;99423;82;Saúde;0;5;
1025;Promoção;20;146221;26;Marketing;0;3;
1026;Promoção;33;84238;39;Artista;1;2;
1027;Normal;92;57032;87;Entretenimento;1;5;
1028;Normal;93;88811;52;Engenheiro;0;4;
1029;Normal;60;167420;50;Artista;5;2;
1030;Normal;38;101846;17;Doutor;3;2;
1031;Normal;15;114061;99;Artista;2;5;
1032;Normal;74;147449;28;Artista;1;5;
1033;Promoção;47;83043;72;Executivo;0;1;
1034;Promoção;96;168990;77;Doutor;9;5;
1035;Normal;97;73867;65;Saúde;4;5;
1036;Promoção;35;165772;47;Saúde;1;4;
1037;Promoção;19;178217;39;Marketing;0;3;
1038;Normal;60;162612;98;Engenheiro;1;6;
1039;Normal;37;99872;72;Entretenimento;11;3;
1040;Promoção;49;142566;85;Artista;1;7;
1041;Promoção;1;111424;68;Entretenimento;0;5;
1042;Normal;43;187841;50;Artista;1;4;
1043;Promoção;46;171921;58;Artista;1;6;
1044;Promoção;65;115299;95;Artista;6;3;
1045;Normal;75;94129;27;Saúde;6;7;
1046;Normal;40;172378;51;Entretenimento;5;6;
1047;Normal;28;146597;31;Engenheiro;1;4;
1048;Promoção;78;64057;40;Doutor;0;3;
1049;Promoção;22;163585;57;Artista;9;5;
1050;Normal;6;93186;75;Entretenimento;0;3;
1051;Normal;46;149764;13;Entretenimento;0;6;
1052;Normal;17;116822;84;Doutor;1;3;
1053;Promoção;46;109346;45;Entretenimento;1;2;
1054;Promoção;72;111587;100;Artista;7;4;
1055;Promoção;38;166644;74;Artista;8;6;
1056;Promoção;50;181270;64;Artista;1;1;
1057;Normal;47;65207;81;Saúde;1;2;
1058;Promoção;72;112146;17;Construção;8;4;
1059;Normal;8;104953;30;Doutor;0;6;
1060;Promoção;34;139009;32;Artista;0;4;
1061;Promoção;53;67916;78;Saúde;0;6;
1062;Promoção;82;99983;84;Executivo;0;1;
1063;Normal;63;131122;52;Artista;9;6;
1064;Promoção;58;173190;33;Doutor;9;4;
1065;Normal;23;122712;26;Marketing;1;1;
1066;Promoção;80;55792;38;Artista;1;6;
1067;Normal;45;73892;45;Doutor;1;4;
1068;Promoção;30;78821;42;;1;4;
1069;Promoção;84;152475;20;Artista;0;7;
1070;Normal;45;152226;99;Artista;4;4;
1071;Normal;85;117679;30;Entretenimento;1;3;
1072;Normal;23;146473;99;Artista;1;4;
1073;Normal;79;66051;75;Saúde;1;7;
1074;Normal;47;162332;84;Entretenimento;1;5;
1075;Promoção;93;166018;67;Doutor;0;3;
1076;Promoção;95;67398;89;Entretenimento;2;5;
1077;Normal;44;73760;82;Entretenimento;1;6;
1078;Normal;95;167578;78;Entretenimento;0;1;
1079;Normal;28;130267;45;Engenheiro;8;4;
1080;Normal;91;94846;95;Engenheiro;0;5;
1081;Promoção;81;155396;1;Engenheiro;9;5;
1082;Promoção;90;138013;24;Artista;8;7;
1083;Normal;79;148286;89;Entretenimento;0;4;
1084;Promoção;6;101031;16;Artista;0;1;
1085;Promoção;38;52884;20;Advogado;1;1;
1086;Normal;87;153230;15;Saúde;8;1;
1087;Promoção;93;63261;9;Engenheiro;1;7;
1088;Normal;44;90167;84;Engenheiro;0;3;
1089;Promoção;10;162076;47;;0;3;
1090;Promoção;84;53622;35;Artista;0;3;
1091;Promoção;7;172913;63;Executivo;0;4;
1092;Promoção;41;94316;94;Artista;0;6;
1093;Normal;87;141383;3;;7;5;
1094;Promoção;33;67874;63;Artista;0;2;
1095;Promoção;34;176554;58;Saúde;1;2;
1096;Promoção;53;135341;59;Saúde;10;2;
1097;Promoção;47;129019;53;Saúde;0;3;
1098;Normal;53;107879;3;Doutor;1;6;
1099;Normal;92;79531;16;Artista;1;1;
1100;Normal;89;63379;78;Artista;12;7;
1101;Promoção;27;156258;62;Entretenimento;0;4;
1102;Normal;70;67874;53;Entretenimento;9;3;
1103;Promoção;86;159964;53;Engenheiro;5;6;
1104;Promoção;99;103706;58;Entretenimento;1;2;
1105;Promoção;96;64713;92;Entretenimento;2;7;
1106;Promoção;65;90414;63;Artista;1;5;
1107;Promoção;82;171100;30;Executivo;0;5;
1108;Normal;36;187305;85;Engenheiro;6;7;
1109;Promoção;30;139758;42;Advogado;0;6;
1110;Promoção;96;91226;52;Saúde;0;5;
1111;Promoção;69;143928;26;Engenheiro;9;7;
1112;Promoção;34;92366;10;Saúde;0;6;
1113;Normal;74;175041;37;Artista;4;1;
1114;Normal;97;147301;93;Advogado;1;5;
1115;Normal;56;119296;49;Engenheiro;0;7;
1116;Promoção;30;126306;52;Artista;0;1;
1117;Normal;13;100647;49;Executivo;1;3;
1118;Promoção;95;168663;19;Engenheiro;11;5;
1119;Promoção;2;105391;11;Executivo;0;7;
1120;Promoção;78;175179;39;Executivo;9;4;
1121;Promoção;54;165019;20;Entretenimento;1;2;
1122;Promoção;85;68212;22;Saúde;7;4;
1123;Normal;13;64572;83;Artista;1;2;
1124;Promoção;85;92591;100;Artista;8;2;
1125;Promoção;41;69730;100;Artista;1;4;
1126;Promoção;25;156793;58;Marketing;2;4;
1127;Promoção;74;56848;49;Artista;5;1;
1128;Normal;8;148450;28;Saúde;0;6;
1129;Normal;62;150619;51;Artista;10;6;
1130;Normal;52;100261;22;Artista;1;6;
1131;Promoção;36;109895;52;Saúde;5;2;
1132;Normal;11;152684;24;Advogado;0;3;
1133;Promoção;84;133765;91;Artista;1;3;
1134;Promoção;99;57677;95;Advogado;0;5;
1135;Promoção;51;112358;35;Artista;0;6;
1136;Promoção;57;73845;60;Artista;1;7;
1137;Normal;92;89531;42;Saúde;6;2;
1138;Normal;29;118092;100;Entretenimento;7;3;
1139;Normal;62;144242;61;Entretenimento;1;4;
1140;Promoção;43;140876;98;Entretenimento;0;4;
1141;Normal;72;76888;31;Marketing;0;1;
1142;Promoção;28;116644;96;Artista;6;3;
1143;Promoção;57;143021;1;Executivo;5;4;
1144;Promoção;86;145679;87;Advogado;9;6;
1145;Promoção;26;64398;3;Advogado;1;6;
1146;Promoção;13;104512;41;Marketing;9;3;
1147;Normal;1;71564;60;Artista;0;5;
1148;Promoção;89;122707;60;Construção;2;3;
1149;Promoção;91;51733;92;Saúde;0;5;
1150;Promoção;67;138087;64;Marketing;1;7;
1151;Normal;63;147278;51;Advogado;0;4;
1152;Promoção;90;187339;58;Saúde;0;6;
1153;Promoção;87;129972;93;Executivo;1;6;
1154;Promoção;89;151176;51;Saúde;1;2;
1155;Promoção;34;74358;68;Artista;0;6;
1156;Normal;89;83953;82;Saúde;0;3;
1157;Normal;31;62925;24;Engenheiro;1;6;
1158;Normal;55;65257;93;Doutor;2;3;
1159;Promoção;3;188557;1;Saúde;0;2;
1160;Normal;64;163783;84;Saúde;3;1;
1161;Promoção;1;108342;66;Doutor;0;3;
1162;Promoção;20;155951;17;Saúde;7;4;
1163;Promoção;18;183071;37;Artista;7;4;
1164;Promoção;83;124104;16;Saúde;4;6;
1165;Promoção;21;136747;1;Saúde;1;1;
1166;Normal;19;189498;30;Artista;4;1;
1167;Promoção;74;76149;56;Artista;9;6;
1168;Promoção;44;185550;62;Artista;0;1;
1169;Promoção;52;119567;27;Artista;5;2;
1170;Promoção;14;79806;26;Engenheiro;1;6;
1171;Normal;10;180774;58;Entretenimento;0;5;
