CódigoCompra;Data;Fornecedor;Produto;Quantidade;ValorUnitário;ValorFinal
65933;05/12/2023;Fabrica Doidona Europa;Condensador - Linha B;1;793.39;793.39
65936;05/12/2023;Fabrica Hashtag Argentina;Terminal de Direção - Linha A;2;136;272
65937;05/12/2023;Original Fábrica Europa;Radiador - Linha C;2;339.75;679.5
65939;05/12/2023;Fabrica Hashtag Brasil;Filtro de Óleo - Linha A;1;18.9;18.9
65939;05/12/2023;Fabrica Hashtag Brasil;Filtro de Óleo - Linha B;2;21.74;43.47
65941;05/12/2023;Fabrica Doidona Mexico;Mola de pressão - Linha C;1;52.4;52.4
65942;05/12/2023;Fabrica Hashtag Argentina;Correia - Linha Premium;1;269.61;269.61
65945;05/12/2023;Fabrica Doidona Argentina;Bomba d'agua - Linha A;1;553.9;553.9
65945;05/12/2023;Fabrica Doidona Argentina;Filtro de Óleo - Linha B;3;21.74;65.21
65947;05/12/2023;Fabrica Hashtag Argentina;Filtro de Óleo - Linha B;1;21.74;21.74
65948;05/12/2023;Fabrica Doidona Brasil;Correia - Linha B;2;137.91;275.82
65948;05/12/2023;Fabrica Doidona Brasil;Radiador - Linha B;2;295.44;590.87
65948;05/12/2023;Fabrica Doidona Brasil;Bateria - Linha C;1;633.48;633.48
65948;05/12/2023;Fabrica Doidona Brasil;Logo Hashtag - Linha C;4;13.23;52.9
65949;05/12/2023;Revenda Mexico;Óleo Motor - Linha C;2;342.53;685.06
65949;05/12/2023;Revenda Mexico;Filtro Combustível - Linha Premium;3;412.19;1236.58
65949;05/12/2023;Revenda Mexico;Óleo Motor - Linha A;1;259;259
65949;05/12/2023;Revenda Mexico;Kit Embreagem - Linha Premium;3;854.34;2563.01
65952;05/12/2023;Fabrica Doidona Asia;Barra Estabilizadora - Linha A;2;395.8;791.6
65953;05/12/2023;Fabrica Doidona Europa;Mola de pressão - Linha C;2;52.4;104.79
65953;05/12/2023;Fabrica Doidona Europa;Volante - Linha B;2;609.5;1219
65956;05/12/2023;Original Fábrica Mexico;Pneus - Linha B;1;413.9;413.9
65956;05/12/2023;Original Fábrica Mexico;Bomba d'agua - Linha A;3;553.9;1661.7
65958;05/12/2023;Fabrica Hashtag Europa;Foto do Lira - Linha C;1;1150.58;1150.58
65958;05/12/2023;Fabrica Hashtag Europa;Logo Hashtag - Linha Premium;2;22.48;44.97
65958;05/12/2023;Fabrica Hashtag Europa;Óleo Motor - Linha B;3;297.85;893.55
65959;05/12/2023;Fabrica Hashtag EUA;Mola de pressão - Linha A;3;39.62;118.86
65962;05/12/2023;Fabrica Doidona EUA;Bomba d'agua - Linha C;1;732.53;732.53
65963;05/12/2023;Fabrica Doidona Mexico;Óleo Motor - Linha C;5;342.53;1712.64
65964;05/12/2023;Fabrica Hashtag Asia;Rolamento das Rodas - Linha C;1;248.5;248.5
65966;05/12/2023;Fabrica Doidona Asia;Radiador - Linha A;4;256.9;1027.6
65966;05/12/2023;Fabrica Doidona Asia;Filtro Combustível - Linha B;1;210.84;210.84
65966;05/12/2023;Fabrica Doidona Asia;Radiador - Linha B;3;295.44;886.31
65966;05/12/2023;Fabrica Doidona Asia;Bateria - Linha B;3;550.85;1652.55
65968;05/12/2023;Fabrica Doidona Asia;Volante - Linha C;4;700.93;2803.7
65968;05/12/2023;Fabrica Doidona Asia;Correia - Linha C;4;158.59;634.38
65970;05/12/2023;Fabrica Hashtag Europa;Caixa de Marcha - Linha A;2;4990;9980
65970;05/12/2023;Fabrica Hashtag Europa;Rolamento das Rodas - Linha B;5;216.09;1080.43
65974;05/12/2023;Fabrica Hashtag Asia;Barra Estabilizadora - Linha A;1;395.8;395.8
65974;05/12/2023;Fabrica Hashtag Asia;Óleo Motor - Linha C;1;342.53;342.53
65976;06/12/2023;Fabrica Hashtag Asia;Bomba d'agua - Linha C;1;732.53;732.53
65978;06/12/2023;Revenda Brasil;Logo Hashtag - Linha Premium;1;22.48;22.48
65978;06/12/2023;Revenda Brasil;Volante - Linha Premium;1;1191.57;1191.57
65978;06/12/2023;Revenda Brasil;Pneus - Linha B;3;413.9;1241.69
65979;06/12/2023;Fabrica Doidona Europa;Foto do Lira - Linha B;1;1000.5;1000.5
65980;06/12/2023;Original Fábrica Asia;Bateria - Linha Premium;5;1076.91;5384.56
65980;06/12/2023;Original Fábrica Asia;Filtro Combustível - Linha A;4;183.34;733.36
65981;06/12/2023;Original Fábrica Europa;Logo Hashtag - Linha A;2;10;20
65983;06/12/2023;Fabrica Hashtag Brasil;Condensador - Linha Premium;2;1551.07;3102.14
65983;06/12/2023;Fabrica Hashtag Brasil;Condensador - Linha C;1;912.39;912.39
65984;06/12/2023;Original Fábrica Brasil;Pneus - Linha B;3;413.9;1241.69
65984;06/12/2023;Original Fábrica Brasil;Condensador - Linha A;2;689.9;1379.8
65985;06/12/2023;Fabrica Hashtag Asia;Mola de pressão - Linha A;2;39.62;79.24
65986;06/12/2023;Fabrica Doidona Brasil;Filtro Combustível - Linha B;2;210.84;421.68
65989;06/12/2023;Revenda Brasil;Filtro de Óleo - Linha Premium;4;42.49;169.97
65990;06/12/2023;Fabrica Hashtag EUA;Óleo Motor - Linha A;1;259;259
65991;06/12/2023;Revenda Mexico;Rolamento das Rodas - Linha B;2;216.09;432.17
65992;06/12/2023;Revenda Brasil;Terminal de Direção - Linha C;1;179.86;179.86
65993;06/12/2023;Fabrica Hashtag EUA;Mola de pressão - Linha B;2;45.56;91.13
65993;06/12/2023;Fabrica Hashtag EUA;Farol Principal - Linha B;1;183.89;183.89
65993;06/12/2023;Fabrica Hashtag EUA;Caixa de Marcha - Linha Premium;2;11218.77;22437.54
65995;06/12/2023;Fabrica Hashtag Mexico;Farol Principal - Linha A;3;159.9;479.7
65998;06/12/2023;Revenda EUA;Kit Embreagem - Linha C;2;502.55;1005.1
65999;06/12/2023;Revenda Mexico;Radiador - Linha Premium;1;577.58;577.58
66001;06/12/2023;Fabrica Hashtag EUA;Radiador - Linha B;2;295.44;590.87
66002;06/12/2023;Fabrica Doidona Asia;Filtro de Óleo - Linha C;3;25;74.99
66003;06/12/2023;Fabrica Doidona Mexico;Kit Embreagem - Linha Premium;2;854.34;1708.67
66003;06/12/2023;Fabrica Doidona Mexico;Kit Embreagem - Linha Premium;3;854.34;2563.01
66003;06/12/2023;Fabrica Doidona Mexico;Bateria - Linha C;1;633.48;633.48
66005;06/12/2023;Fabrica Hashtag Mexico;Bomba d'agua - Linha Premium;1;1245.31;1245.31
66007;06/12/2023;Fabrica Doidona EUA;Filtro de Óleo - Linha C;1;25;25
66007;06/12/2023;Fabrica Doidona EUA;Rolamento das Rodas - Linha B;2;216.09;432.17
66008;06/12/2023;Fabrica Hashtag Mexico;Kit Embreagem - Linha A;1;380;380
66008;06/12/2023;Fabrica Hashtag Mexico;Pneus - Linha B;2;413.9;827.79
66010;06/12/2023;Revenda Mexico;Filtro Combustível - Linha B;1;210.84;210.84
66011;06/12/2023;Fabrica Hashtag Mexico;Radiador - Linha Premium;1;577.58;577.58
66011;06/12/2023;Fabrica Hashtag Mexico;Radiador - Linha B;1;295.44;295.44
66012;06/12/2023;Fabrica Hashtag Internacional;Caixa de Marcha - Linha B;2;5738.5;11477
66014;06/12/2023;Original Fábrica Europa;Filtro de Óleo - Linha B;2;21.74;43.47
66017;06/12/2023;Original Fábrica Mexico;Filtro de Óleo - Linha B;1;21.74;21.74
66019;06/12/2023;Fabrica Hashtag Brasil;Kit Embreagem - Linha B;2;437;874
66020;06/12/2023;Original Fábrica Asia;Óleo Motor - Linha A;1;259;259
66021;06/12/2023;Revenda Brasil;Barra Estabilizadora - Linha A;1;395.8;395.8
66021;06/12/2023;Revenda Brasil;Foto do Lira - Linha C;1;1150.58;1150.58
66022;06/12/2023;Fabrica Doidona EUA;Rolamento das Rodas - Linha A;1;187.9;187.9
66022;06/12/2023;Fabrica Doidona EUA;Bomba d'agua - Linha Premium;3;1245.31;3735.92
66023;06/12/2023;Original Fábrica Mexico;Bomba d'agua - Linha B;1;636.99;636.99
66025;06/12/2023;Original Fábrica Europa;Correia - Linha C;1;158.59;158.59
66025;06/12/2023;Original Fábrica Europa;Condensador - Linha A;3;689.9;2069.7
66026;06/12/2023;Revenda Brasil;Correia - Linha C;3;158.59;475.78
66027;06/12/2023;Fabrica Doidona Brasil;Kit Embreagem - Linha C;5;502.55;2512.75
66028;06/12/2023;Original Fábrica Brasil;Kit Embreagem - Linha A;1;380;380
66029;06/12/2023;Fabrica Doidona Brasil;Farol Principal - Linha B;3;183.89;551.66
66029;06/12/2023;Fabrica Doidona Brasil;Correia - Linha A;2;119.92;239.84
66032;06/12/2023;Original Fábrica EUA;Radiador - Linha C;1;339.75;339.75
66033;06/12/2023;Fabrica Hashtag Argentina;Pneus - Linha C;1;475.98;475.98
66034;06/12/2023;Fabrica Doidona Brasil;Condensador - Linha B;2;793.39;1586.77
66034;06/12/2023;Fabrica Doidona Brasil;Correia - Linha Premium;4;269.61;1078.44
66034;06/12/2023;Fabrica Doidona Brasil;Volante - Linha A;2;530;1060
66035;06/12/2023;Original Fábrica Europa;Óleo Motor - Linha Premium;2;582.3;1164.59
66035;06/12/2023;Original Fábrica Europa;Filtro Combustível - Linha A;1;183.34;183.34
66036;06/12/2023;Fabrica Hashtag Asia;Foto do Lira - Linha C;1;1150.58;1150.58
66040;06/12/2023;Revenda Asia;Farol Principal - Linha B;3;183.89;551.66
66041;06/12/2023;Revenda EUA;Correia - Linha C;1;158.59;158.59
66043;06/12/2023;Fabrica Doidona Argentina;Correia - Linha C;1;158.59;158.59
66045;06/12/2023;Original Fábrica EUA;Mola de pressão - Linha B;1;45.56;45.56
66046;06/12/2023;Original Fábrica Asia;Radiador - Linha Premium;3;577.58;1732.73
66046;06/12/2023;Original Fábrica Asia;Filtro de Óleo - Linha C;3;25;74.99
66047;06/12/2023;Revenda Europa;Óleo Motor - Linha A;2;259;518
66048;06/12/2023;Fabrica Hashtag Europa;Farol Principal - Linha Premium;2;359.5;718.99
66048;06/12/2023;Fabrica Hashtag Europa;Terminal de Direção - Linha Premium;1;305.76;305.76
66049;06/12/2023;Fabrica Hashtag EUA;Volante - Linha C;5;700.93;3504.63
66049;06/12/2023;Fabrica Hashtag EUA;Filtro Combustível - Linha B;1;210.84;210.84
66050;06/12/2023;Original Fábrica Europa;Filtro Combustível - Linha C;2;242.47;484.93
66050;06/12/2023;Original Fábrica Europa;Volante - Linha B;3;609.5;1828.5
66052;06/12/2023;Fabrica Hashtag Europa;Condensador - Linha C;1;912.39;912.39
66052;06/12/2023;Fabrica Hashtag Europa;Barra Estabilizadora - Linha A;4;395.8;1583.2
66052;06/12/2023;Fabrica Hashtag Europa;Pneus - Linha B;2;413.9;827.79
66052;06/12/2023;Fabrica Hashtag Europa;Foto do Lira - Linha B;1;1000.5;1000.5
66053;06/12/2023;Fabrica Doidona Europa;Foto do Lira - Linha C;2;1150.58;2301.15
66053;06/12/2023;Fabrica Doidona Europa;Condensador - Linha B;1;793.39;793.39
66054;06/12/2023;Fabrica Hashtag Europa;Barra Estabilizadora - Linha B;1;455.17;455.17
66056;06/12/2023;Fabrica Hashtag EUA;Rolamento das Rodas - Linha C;1;248.5;248.5
66057;06/12/2023;Fabrica Doidona Brasil;Foto do Lira - Linha C;3;1150.58;3451.73
66057;06/12/2023;Fabrica Doidona Brasil;Terminal de Direção - Linha A;3;136;408
66057;06/12/2023;Fabrica Doidona Brasil;Bateria - Linha B;1;550.85;550.85
66058;06/12/2023;Revenda Asia;Condensador - Linha A;2;689.9;1379.8
66059;06/12/2023;Original Fábrica Mexico;Bomba d'agua - Linha Premium;2;1245.31;2490.61
66059;06/12/2023;Original Fábrica Mexico;Caixa de Marcha - Linha Premium;3;11218.77;33656.3
66061;06/12/2023;Fabrica Hashtag Argentina;Logo Hashtag - Linha C;2;13.23;26.45
66061;06/12/2023;Fabrica Hashtag Argentina;Rolamento das Rodas - Linha Premium;3;422.45;1267.34
66062;06/12/2023;Revenda Argentina;Condensador - Linha C;1;912.39;912.39
66064;06/12/2023;Revenda Europa;Correia - Linha Premium;1;269.61;269.61
66064;06/12/2023;Revenda Europa;Óleo Motor - Linha B;3;297.85;893.55
66065;06/12/2023;Fabrica Hashtag EUA;Bateria - Linha Premium;1;1076.91;1076.91
66065;06/12/2023;Fabrica Hashtag EUA;Terminal de Direção - Linha C;1;179.86;179.86
66066;06/12/2023;Original Fábrica Argentina;Bateria - Linha A;2;479;958
66066;06/12/2023;Original Fábrica Argentina;Filtro Combustível - Linha B;3;210.84;632.52
66067;06/12/2023;Fabrica Hashtag EUA;Correia - Linha A;5;119.92;599.6
66068;06/12/2023;Original Fábrica Europa;Foto do Lira - Linha Premium;1;1955.98;1955.98
66068;06/12/2023;Original Fábrica Europa;Condensador - Linha A;1;689.9;689.9
66069;06/12/2023;Fabrica Doidona Argentina;Filtro de Óleo - Linha Premium;1;42.49;42.49
66069;06/12/2023;Fabrica Doidona Argentina;Pneus - Linha B;2;413.9;827.79
66070;06/12/2023;Fabrica Doidona Mexico;Logo Hashtag - Linha B;5;11.5;57.5
66070;06/12/2023;Fabrica Doidona Mexico;Condensador - Linha A;3;689.9;2069.7
66070;06/12/2023;Fabrica Doidona Mexico;Condensador - Linha C;2;912.39;1824.79
66071;06/12/2023;Original Fábrica EUA;Kit Embreagem - Linha C;3;502.55;1507.65
66071;06/12/2023;Original Fábrica EUA;Farol Principal - Linha A;3;159.9;479.7
66074;06/12/2023;Original Fábrica Mexico;Farol Principal - Linha C;1;211.47;211.47
66075;06/12/2023;Revenda Argentina;Óleo Motor - Linha Premium;1;582.3;582.3
66079;06/12/2023;Fabrica Hashtag Internacional;Kit Embreagem - Linha C;1;502.55;502.55
66079;06/12/2023;Fabrica Hashtag Internacional;Rolamento das Rodas - Linha Premium;1;422.45;422.45
66080;06/12/2023;Revenda Europa;Bomba d'agua - Linha A;2;553.9;1107.8
66080;06/12/2023;Revenda Europa;Filtro de Óleo - Linha Premium;1;42.49;42.49
66083;06/12/2023;Fabrica Doidona Brasil;Filtro de Óleo - Linha A;3;18.9;56.7
66083;06/12/2023;Fabrica Doidona Brasil;Bateria - Linha Premium;1;1076.91;1076.91
66085;06/12/2023;Revenda Asia;Pneus - Linha A;5;359.91;1799.55
66086;06/12/2023;Revenda Asia;Barra Estabilizadora - Linha Premium;3;889.86;2669.57
66088;06/12/2023;Fabrica Doidona Europa;Correia - Linha B;1;137.91;137.91
66088;06/12/2023;Fabrica Doidona Europa;Bateria - Linha A;1;479;479
66089;06/12/2023;Fabrica Hashtag Argentina;Kit Embreagem - Linha C;2;502.55;1005.1
66090;06/12/2023;Fabrica Doidona EUA;Farol Principal - Linha C;4;211.47;845.87
66090;06/12/2023;Fabrica Doidona EUA;Filtro de Óleo - Linha Premium;1;42.49;42.49
66092;06/12/2023;Original Fábrica Asia;Farol Principal - Linha A;1;159.9;159.9
66095;06/12/2023;Fabrica Hashtag Argentina;Logo Hashtag - Linha A;1;10;10
66095;06/12/2023;Fabrica Hashtag Argentina;Mola de pressão - Linha A;2;39.62;79.24
66095;06/12/2023;Fabrica Hashtag Argentina;Farol Principal - Linha Premium;2;359.5;718.99
66098;06/12/2023;Original Fábrica Asia;Caixa de Marcha - Linha Premium;2;11218.77;22437.54
66098;06/12/2023;Original Fábrica Asia;Barra Estabilizadora - Linha B;4;455.17;1820.68
66099;06/12/2023;Fabrica Hashtag Brasil;Caixa de Marcha - Linha C;3;6599.28;19797.83
66102;06/12/2023;Fabrica Doidona Mexico;Rolamento das Rodas - Linha Premium;1;422.45;422.45
66103;06/12/2023;Revenda Europa;Correia - Linha C;1;158.59;158.59
66103;06/12/2023;Revenda Europa;Logo Hashtag - Linha Premium;4;22.48;89.93
66104;06/12/2023;Fabrica Doidona Argentina;Barra Estabilizadora - Linha Premium;2;889.86;1779.71
66105;06/12/2023;Fabrica Doidona Asia;Logo Hashtag - Linha Premium;1;22.48;22.48
66106;06/12/2023;Revenda Asia;Bomba d'agua - Linha C;3;732.53;2197.6
66107;06/12/2023;Revenda Asia;Correia - Linha A;3;119.92;359.76
66107;06/12/2023;Revenda Asia;Óleo Motor - Linha C;1;342.53;342.53
66110;06/12/2023;Fabrica Doidona EUA;Óleo Motor - Linha Premium;1;582.3;582.3
66110;06/12/2023;Fabrica Doidona EUA;Condensador - Linha Premium;2;1551.07;3102.14
66110;06/12/2023;Fabrica Doidona EUA;Filtro de Óleo - Linha B;3;21.74;65.21
66112;06/12/2023;Fabrica Doidona Europa;Bateria - Linha B;1;550.85;550.85
66116;06/12/2023;Revenda Mexico;Óleo Motor - Linha Premium;1;582.3;582.3
66116;06/12/2023;Revenda Mexico;Caixa de Marcha - Linha Premium;1;11218.77;11218.77
66116;06/12/2023;Revenda Mexico;Mola de pressão - Linha A;1;39.62;39.62
66117;06/12/2023;Fabrica Doidona Mexico;Óleo Motor - Linha C;1;342.53;342.53
66117;06/12/2023;Fabrica Doidona Mexico;Volante - Linha Premium;4;1191.57;4766.29
66118;06/12/2023;Fabrica Doidona Mexico;Filtro de Óleo - Linha A;1;18.9;18.9
66118;06/12/2023;Fabrica Doidona Mexico;Kit Embreagem - Linha Premium;3;854.34;2563.01
66119;06/12/2023;Fabrica Hashtag Internacional;Farol Principal - Linha A;2;159.9;319.8
66119;06/12/2023;Fabrica Hashtag Internacional;Kit Embreagem - Linha C;1;502.55;502.55
66119;06/12/2023;Fabrica Hashtag Internacional;Barra Estabilizadora - Linha C;2;523.45;1046.89
66121;06/12/2023;Fabrica Hashtag Mexico;Pneus - Linha C;5;475.98;2379.9
66121;06/12/2023;Fabrica Hashtag Mexico;Filtro de Óleo - Linha C;1;25;25
66123;06/12/2023;Revenda Argentina;Caixa de Marcha - Linha B;4;5738.5;22954
66126;06/12/2023;Original Fábrica Argentina;Terminal de Direção - Linha Premium;1;305.76;305.76
66127;06/12/2023;Revenda EUA;Filtro de Óleo - Linha Premium;5;42.49;212.46
66130;06/12/2023;Fabrica Hashtag Asia;Barra Estabilizadora - Linha B;1;455.17;455.17
66132;06/12/2023;Revenda Europa;Filtro Combustível - Linha B;1;210.84;210.84
66134;06/12/2023;Fabrica Doidona Europa;Caixa de Marcha - Linha A;3;4990;14970
66134;06/12/2023;Fabrica Doidona Europa;Volante - Linha B;2;609.5;1219
66137;06/12/2023;Revenda Brasil;Bomba d'agua - Linha A;2;553.9;1107.8
66138;06/12/2023;Fabrica Doidona EUA;Rolamento das Rodas - Linha A;3;187.9;563.7
66139;06/12/2023;Fabrica Hashtag Internacional;Foto do Lira - Linha C;3;1150.58;3451.73
66141;06/12/2023;Fabrica Doidona Europa;Filtro Combustível - Linha A;1;183.34;183.34
66141;06/12/2023;Fabrica Doidona Europa;Bateria - Linha C;1;633.48;633.48
66141;06/12/2023;Fabrica Doidona Europa;Correia - Linha A;1;119.92;119.92
66142;06/12/2023;Revenda EUA;Kit Embreagem - Linha A;2;380;760
66142;06/12/2023;Revenda EUA;Foto do Lira - Linha A;3;870;2610
66144;06/12/2023;Revenda Argentina;Óleo Motor - Linha C;3;342.53;1027.58
66144;06/12/2023;Revenda Argentina;Foto do Lira - Linha Premium;1;1955.98;1955.98
66145;06/12/2023;Fabrica Hashtag Asia;Radiador - Linha A;5;256.9;1284.5
66146;06/12/2023;Fabrica Doidona Mexico;Óleo Motor - Linha B;2;297.85;595.7
66150;06/12/2023;Fabrica Doidona Asia;Foto do Lira - Linha A;2;870;1740
66151;06/12/2023;Original Fábrica Argentina;Caixa de Marcha - Linha B;4;5738.5;22954
66151;06/12/2023;Original Fábrica Argentina;Barra Estabilizadora - Linha A;2;395.8;791.6
66152;06/12/2023;Original Fábrica Asia;Logo Hashtag - Linha A;1;10;10
66154;06/12/2023;Revenda Argentina;Condensador - Linha C;1;912.39;912.39
66154;06/12/2023;Revenda Argentina;Filtro de Óleo - Linha A;1;18.9;18.9
66155;06/12/2023;Fabrica Hashtag EUA;Óleo Motor - Linha C;1;342.53;342.53
66156;06/12/2023;Original Fábrica Mexico;Caixa de Marcha - Linha B;2;5738.5;11477
66156;06/12/2023;Original Fábrica Mexico;Foto do Lira - Linha Premium;2;1955.98;3911.96
66158;07/12/2023;Fabrica Hashtag Mexico;Condensador - Linha B;1;793.39;793.39
66158;07/12/2023;Fabrica Hashtag Mexico;Terminal de Direção - Linha C;2;179.86;359.72
66159;07/12/2023;Revenda Europa;Barra Estabilizadora - Linha Premium;3;889.86;2669.57
66160;07/12/2023;Revenda EUA;Pneus - Linha B;1;413.9;413.9
66160;07/12/2023;Revenda EUA;Caixa de Marcha - Linha C;2;6599.28;13198.55
66160;07/12/2023;Revenda EUA;Bateria - Linha B;4;550.85;2203.4
66161;07/12/2023;Fabrica Doidona Europa;Rolamento das Rodas - Linha Premium;2;422.45;844.89
66162;07/12/2023;Original Fábrica Argentina;Barra Estabilizadora - Linha B;2;455.17;910.34
66162;07/12/2023;Original Fábrica Argentina;Bomba d'agua - Linha A;1;553.9;553.9
66162;07/12/2023;Original Fábrica Argentina;Radiador - Linha A;2;256.9;513.8
66166;07/12/2023;Original Fábrica Europa;Filtro Combustível - Linha C;5;242.47;1212.34
66166;07/12/2023;Original Fábrica Europa;Condensador - Linha A;2;689.9;1379.8
66166;07/12/2023;Original Fábrica Europa;Foto do Lira - Linha A;1;870;870
66168;07/12/2023;Original Fábrica Europa;Caixa de Marcha - Linha A;1;4990;4990
66168;07/12/2023;Original Fábrica Europa;Condensador - Linha A;4;689.9;2759.6
66168;07/12/2023;Original Fábrica Europa;Foto do Lira - Linha B;1;1000.5;1000.5
66169;07/12/2023;Fabrica Doidona Mexico;Condensador - Linha B;1;793.39;793.39
66170;07/12/2023;Revenda EUA;Foto do Lira - Linha B;1;1000.5;1000.5
66174;07/12/2023;Original Fábrica Argentina;Terminal de Direção - Linha Premium;1;305.76;305.76
66174;07/12/2023;Original Fábrica Argentina;Correia - Linha A;1;119.92;119.92
66174;07/12/2023;Original Fábrica Argentina;Mola de pressão - Linha Premium;3;89.08;267.23
66175;07/12/2023;Revenda Asia;Mola de pressão - Linha C;1;52.4;52.4
66176;07/12/2023;Original Fábrica Argentina;Rolamento das Rodas - Linha C;2;248.5;497
66177;07/12/2023;Fabrica Doidona Argentina;Filtro de Óleo - Linha B;1;21.74;21.74
66177;07/12/2023;Fabrica Doidona Argentina;Filtro de Óleo - Linha A;2;18.9;37.8
66178;07/12/2023;Fabrica Hashtag Brasil;Farol Principal - Linha C;1;211.47;211.47
66178;07/12/2023;Fabrica Hashtag Brasil;Filtro Combustível - Linha Premium;1;412.19;412.19
66179;07/12/2023;Fabrica Hashtag Asia;Condensador - Linha A;1;689.9;689.9
66182;07/12/2023;Fabrica Doidona EUA;Volante - Linha C;1;700.93;700.93
66183;07/12/2023;Revenda Brasil;Terminal de Direção - Linha A;1;136;136
66183;07/12/2023;Revenda Brasil;Óleo Motor - Linha C;3;342.53;1027.58
66185;07/12/2023;Fabrica Hashtag Internacional;Foto do Lira - Linha C;1;1150.58;1150.58
66185;07/12/2023;Fabrica Hashtag Internacional;Correia - Linha C;2;158.59;317.19
66185;07/12/2023;Fabrica Hashtag Internacional;Radiador - Linha B;2;295.44;590.87
66186;07/12/2023;Revenda EUA;Caixa de Marcha - Linha B;5;5738.5;28692.5
66189;07/12/2023;Fabrica Hashtag Mexico;Logo Hashtag - Linha A;5;10;50
66189;07/12/2023;Fabrica Hashtag Mexico;Mola de pressão - Linha A;1;39.62;39.62
66190;07/12/2023;Revenda Brasil;Farol Principal - Linha Premium;4;359.5;1437.98
66191;07/12/2023;Original Fábrica Mexico;Kit Embreagem - Linha C;1;502.55;502.55
66192;07/12/2023;Fabrica Doidona Mexico;Bomba d'agua - Linha B;1;636.99;636.99
66192;07/12/2023;Fabrica Doidona Mexico;Filtro de Óleo - Linha C;3;25;74.99
66192;07/12/2023;Fabrica Doidona Mexico;Kit Embreagem - Linha Premium;3;854.34;2563.01
66193;07/12/2023;Original Fábrica Asia;Filtro Combustível - Linha A;2;183.34;366.68
66194;07/12/2023;Original Fábrica Europa;Farol Principal - Linha B;1;183.89;183.89
66195;07/12/2023;Fabrica Doidona EUA;Radiador - Linha B;1;295.44;295.44
66195;07/12/2023;Fabrica Doidona EUA;Filtro de Óleo - Linha C;1;25;25
66196;07/12/2023;Original Fábrica Europa;Filtro Combustível - Linha B;3;210.84;632.52
66197;07/12/2023;Original Fábrica EUA;Óleo Motor - Linha B;1;297.85;297.85
66197;07/12/2023;Original Fábrica EUA;Logo Hashtag - Linha A;2;10;20
66198;07/12/2023;Fabrica Doidona Brasil;Radiador - Linha B;4;295.44;1181.74
66201;07/12/2023;Fabrica Hashtag EUA;Radiador - Linha Premium;2;577.58;1155.15
66201;07/12/2023;Fabrica Hashtag EUA;Correia - Linha A;1;119.92;119.92
66203;07/12/2023;Original Fábrica Argentina;Farol Principal - Linha B;1;183.89;183.89
66205;07/12/2023;Fabrica Hashtag Mexico;Kit Embreagem - Linha Premium;1;854.34;854.34
66206;07/12/2023;Original Fábrica Mexico;Radiador - Linha Premium;1;577.58;577.58
66207;07/12/2023;Original Fábrica Mexico;Foto do Lira - Linha C;1;1150.58;1150.58
66209;07/12/2023;Fabrica Doidona Brasil;Radiador - Linha C;1;339.75;339.75
66210;07/12/2023;Fabrica Hashtag EUA;Radiador - Linha B;1;295.44;295.44
66211;07/12/2023;Revenda Asia;Logo Hashtag - Linha B;2;11.5;23
66212;07/12/2023;Original Fábrica Asia;Mola de pressão - Linha B;1;45.56;45.56
66213;07/12/2023;Fabrica Doidona Mexico;Mola de pressão - Linha B;2;45.56;91.13
66214;07/12/2023;Revenda Argentina;Bomba d'agua - Linha Premium;1;1245.31;1245.31
66219;07/12/2023;Fabrica Hashtag Asia;Condensador - Linha B;1;793.39;793.39
66228;07/12/2023;Fabrica Hashtag Mexico;Logo Hashtag - Linha Premium;5;22.48;112.41
66228;07/12/2023;Fabrica Hashtag Mexico;Condensador - Linha Premium;4;1551.07;6204.27
66229;07/12/2023;Original Fábrica Mexico;Volante - Linha A;3;530;1590
66231;07/12/2023;Revenda Mexico;Kit Embreagem - Linha A;1;380;380
66232;07/12/2023;Fabrica Doidona Asia;Filtro de Óleo - Linha C;3;25;74.99
66233;07/12/2023;Revenda Europa;Filtro Combustível - Linha Premium;1;412.19;412.19
66233;07/12/2023;Revenda Europa;Bateria - Linha A;2;479;958
66233;07/12/2023;Revenda Europa;Bateria - Linha C;1;633.48;633.48
66233;07/12/2023;Revenda Europa;Bomba d'agua - Linha B;1;636.99;636.99
66234;07/12/2023;Fabrica Doidona Brasil;Farol Principal - Linha Premium;3;359.5;1078.49
66240;07/12/2023;Revenda Asia;Óleo Motor - Linha A;1;259;259
66242;07/12/2023;Fabrica Doidona Asia;Condensador - Linha A;1;689.9;689.9
66242;07/12/2023;Fabrica Doidona Asia;Rolamento das Rodas - Linha A;1;187.9;187.9
66243;07/12/2023;Original Fábrica Mexico;Rolamento das Rodas - Linha B;2;216.09;432.17
66245;07/12/2023;Original Fábrica Mexico;Barra Estabilizadora - Linha B;2;455.17;910.34
66245;07/12/2023;Original Fábrica Mexico;Filtro Combustível - Linha B;1;210.84;210.84
66246;07/12/2023;Fabrica Hashtag Europa;Kit Embreagem - Linha Premium;1;854.34;854.34
66247;07/12/2023;Revenda Europa;Filtro de Óleo - Linha A;2;18.9;37.8
66248;07/12/2023;Fabrica Hashtag Mexico;Correia - Linha C;5;158.59;792.97
66248;07/12/2023;Fabrica Hashtag Mexico;Caixa de Marcha - Linha C;4;6599.28;26397.1
66250;07/12/2023;Revenda Europa;Logo Hashtag - Linha B;1;11.5;11.5
66252;07/12/2023;Original Fábrica Brasil;Caixa de Marcha - Linha B;2;5738.5;11477
